"Position","Track.Name","Artist","Streams","URL","Date","Region"
1,"rockstar","Post Malone",1389969,"https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx","2018-01-09","us"
2,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",1262874,"https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i","2018-01-09","us"
3,"No Limit","G-Eazy",1134491,"https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW","2018-01-09","us"
4,"Bartier Cardi (feat. 21 Savage)","Cardi B",1093964,"https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT","2018-01-09","us"
5,"I Fall Apart","Post Malone",993683,"https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2018-01-09","us"
6,"All The Stars (with SZA)","Kendrick Lamar",960401,"https://open.spotify.com/track/66kQ7wr4d2LwwSjr7HXcyr","2018-01-09","us"
7,"Ric Flair Drip (& Metro Boomin)","Offset",953289,"https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR","2018-01-09","us"
8,"Him & I (with Halsey)","G-Eazy",930717,"https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4","2018-01-09","us"
9,"Havana","Camila Cabello",856493,"https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb","2018-01-09","us"
10,"LOVE. FEAT. ZACARI.","Kendrick Lamar",844540,"https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As","2018-01-09","us"
11,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",839826,"https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J","2018-01-09","us"
12,"Let You Down","NF",761753,"https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr","2018-01-09","us"
13,"Candy Paint","Post Malone",735421,"https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf","2018-01-09","us"
14,"River (feat. Ed Sheeran)","Eminem",724892,"https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD","2018-01-09","us"
15,"Pick It Up (feat. A$AP Rocky)","Famous Dex",687929,"https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd","2018-01-09","us"
16,"Gucci Gang","Lil Pump",680989,"https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc","2018-01-09","us"
17,"XO TOUR Llif3","Lil Uzi Vert",677543,"https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO","2018-01-09","us"
18,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",676715,"https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y","2018-01-09","us"
19,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",664582,"https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2018-01-09","us"
20,"Filthy","Justin Timberlake",661114,"https://open.spotify.com/track/1L3NV7VrCiuE8C5QlhdeQL","2018-01-09","us"
