,Position,Track.Name,Artist,Streams,URL,Date,Region
1,1,Dejala Que Vuelva (feat. Manuel Turizo),Piso 21,25971,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l,1/9/2018,ec
2,2,Corazon,Maluma,25302,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou,1/9/2018,ec
3,3,Echame La Culpa,Luis Fonsi,24584,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,1/9/2018,ec
4,4,Downtown,Anitta,19735,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,1/9/2018,ec
5,5,Bella,Wolfine,19634,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE,1/9/2018,ec
6,6,Sensualidad,Bad Bunny,18913,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,1/9/2018,ec
7,7,Criminal,Natti Natasha,18266,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C,1/9/2018,ec
8,8,Que Va,Alex Sensation,14455,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O,1/9/2018,ec
9,9,Mayores,Becky G,14138,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,1/9/2018,ec
10,10,Se Preparó,Ozuna,14013,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,1/9/2018,ec
11,11,SUTRA,Sebastian Yatra,13885,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5,1/9/2018,ec
12,12,Robarte un Beso,Carlos Vives,13848,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,1/9/2018,ec
13,13,Suena El Dembow,Joey Montana,13650,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI,1/9/2018,ec
14,14,Báilame - Remix,Nacho,12280,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,1/9/2018,ec
15,15,Déjate Llevar,Juan Magán,12157,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,1/9/2018,ec
16,16,Me Rehúso,Danny Ocean,12101,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,1/9/2018,ec
17,17,Perro Fiel,Shakira,12077,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,1/9/2018,ec
18,18,Esperándote,Manuel Turizo,11695,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,1/9/2018,ec
19,19,Besame,Valentino,11293,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz,1/9/2018,ec
20,20,Bella y Sensual,Romeo Santos,10784,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3,1/9/2018,ec
21,21,Dembow,Danny Ocean,9839,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,1/9/2018,ec
22,22,Vuelve,Daddy Yankee,9677,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv,1/9/2018,ec
23,23,Olha a Explosão,MC Kevinho,9661,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn,1/9/2018,ec
24,24,Besos En Guerra,Morat,9634,https://open.spotify.com/track/1d0c62VFYauOOgxZ2eFUxx,1/9/2018,ec
25,25,Escápate Conmigo,Wisin,9559,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc,1/9/2018,ec
26,26,Una Lady Como Tú,Manuel Turizo,9279,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,1/9/2018,ec
27,27,3 A.M.,Jesse & Joy,9237,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu,1/9/2018,ec
28,28,Bum Bum Tam Tam,MC Fioti,9171,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,1/9/2018,ec
